year,channel,total_value,quantity,transactions,active_stores,active_products
2022,In-Store,1425678688.0,2381840,656451,30,5000
2022,Mobile App,389234697.95,648426,178613,30,5000
2022,Online,764597144.67,1276790,352753,30,5000
2023,In-Store,1451523764.83,2523874,697049,30,5000
2023,Mobile App,393720240.3,684471,188989,30,5000
2023,Online,784500239.19,1361242,375270,30,5000
2024,In-Store,1483872111.18,2669902,735977,30,5000
2024,Mobile App,402449559.51,722253,199378,30,5000
2024,Online,796450327.61,1433880,395375,30,5000
2025,In-Store,1663753916.1,2780119,771177,30,5000
2025,Mobile App,450544659.85,752697,208907,30,5000
2025,Online,896583731.54,1497511,414692,30,5000
