date,year,channel,total_value,quantity,transactions,active_stores,active_products
2022-01-01,2022,In-Store,3333096.64,5554,1505,30,1701
2022-01-01,2022,Mobile App,775187.36,1311,371,30,531
2022-01-01,2022,Online,1688094.22,2664,739,30,974
2022-01-02,2022,In-Store,3185017.92,5274,1489,30,1666
2022-01-02,2022,Mobile App,958826.28,1461,407,30,589
2022-01-02,2022,Online,1782333.01,2902,771,30,980
2022-01-03,2022,In-Store,3382952.69,5437,1502,30,1643
2022-01-03,2022,Mobile App,801975.15,1324,379,30,562
2022-01-03,2022,Online,1843323.74,2918,796,30,1026
2022-01-04,2022,In-Store,3213674.29,5348,1420,30,1656
2022-01-04,2022,Mobile App,927670.51,1526,407,30,613
2022-01-04,2022,Online,1702799.97,2875,773,30,1016
2022-01-05,2022,In-Store,3207084.06,5069,1450,30,1589
2022-01-05,2022,Mobile App,939350.22,1495,401,30,589
2022-01-05,2022,Online,1683976.68,2756,762,30,997
2022-01-06,2022,In-Store,3161085.87,5306,1481,30,1575
2022-01-06,2022,Mobile App,983343.83,1523,416,30,597
2022-01-06,2022,Online,1717982.97,2635,762,30,973
2022-01-07,2022,In-Store,3302340.54,5362,1456,30,1635
2022-01-07,2022,Mobile App,831671.56,1398,399,30,593
2022-01-07,2022,Online,1804089.99,2803,788,30,1032
2022-01-08,2022,In-Store,3372209.3,5203,1498,30,1656
2022-01-08,2022,Mobile App,962505.15,1535,396,30,598
2022-01-08,2022,Online,1850920.32,2902,834,30,1034
2022-01-09,2022,In-Store,3222521.72,5037,1394,30,1597
2022-01-09,2022,Mobile App,804354.94,1279,357,30,520
2022-01-09,2022,Online,1753083.84,2933,792,30,1007
2022-01-10,2022,In-Store,3386993.94,5483,1511,30,1631
2022-01-10,2022,Mobile App,935671.87,1443,398,30,563
2022-01-10,2022,Online,1720647.36,2679,765,30,1005
2022-01-11,2022,In-Store,3429555.69,5410,1465,30,1641
2022-01-11,2022,Mobile App,953292.34,1605,439,30,636
2022-01-11,2022,Online,1847331.93,2968,842,30,1043
2022-01-12,2022,In-Store,3268455.68,5295,1434,30,1606
2022-01-12,2022,Mobile App,1016817.01,1562,425,30,612
2022-01-12,2022,Online,1911849.57,2981,799,30,1074
2022-01-13,2022,In-Store,3170948.17,5228,1448,30,1603
2022-01-13,2022,Mobile App,1004106.04,1482,388,30,584
2022-01-13,2022,Online,1694924.88,2737,748,30,1015
2022-01-14,2022,In-Store,3181630.39,5390,1490,30,1641
2022-01-14,2022,Mobile App,885794.35,1415,390,30,573
2022-01-14,2022,Online,1726320.5,2834,815,30,1032
2022-01-15,2022,In-Store,3337727.04,5461,1497,30,1647
2022-01-15,2022,Mobile App,879834.27,1397,388,30,574
2022-01-15,2022,Online,1669216.57,2712,754,30,1006
2022-01-16,2022,In-Store,3281366.67,5472,1492,30,1659
2022-01-16,2022,Mobile App,977508.75,1535,403,30,613
2022-01-16,2022,Online,1788803.83,2956,788,30,1044
2022-01-17,2022,In-Store,3329212.4,5381,1498,30,1660
2022-01-17,2022,Mobile App,1017644.87,1542,402,30,605
2022-01-17,2022,Online,1727090.8,2929,811,30,1066
2022-01-18,2022,In-Store,3412244.7,5426,1491,30,1645
2022-01-18,2022,Mobile App,1058400.11,1513,424,30,596
2022-01-18,2022,Online,1668014.88,2885,795,30,1022
2022-01-19,2022,In-Store,3522444.26,5466,1476,30,1675
2022-01-19,2022,Mobile App,887445.09,1433,403,30,575
2022-01-19,2022,Online,1742328.52,2838,770,30,1000
2022-01-20,2022,In-Store,3203806.15,5201,1450,30,1617
2022-01-20,2022,Mobile App,937275.76,1483,408,30,572
2022-01-20,2022,Online,1803572.35,2937,773,30,1022
2022-01-21,2022,In-Store,3381574.51,5587,1511,30,1670
2022-01-21,2022,Mobile App,920837.77,1442,392,30,575
2022-01-21,2022,Online,1664258.38,2796,781,30,1031
2022-01-22,2022,In-Store,3535688.4,5715,1541,30,1751
2022-01-22,2022,Mobile App,880434.24,1440,393,30,555
2022-01-22,2022,Online,1944585.45,2998,797,30,1066
2022-01-23,2022,In-Store,3133843.6,5444,1516,30,1620
2022-01-23,2022,Mobile App,869811.92,1462,387,30,607
2022-01-23,2022,Online,1552071.09,2738,776,30,1002
2022-01-24,2022,In-Store,2995875.28,5334,1421,30,1622
2022-01-24,2022,Mobile App,920745.72,1560,422,30,614
2022-01-24,2022,Online,1565008.58,2703,745,30,983
2022-01-25,2022,In-Store,3083116.93,5538,1522,30,1681
2022-01-25,2022,Mobile App,762808.4,1459,400,30,603
2022-01-25,2022,Online,1667345.13,2843,793,30,1027
2022-01-26,2022,In-Store,2871026.85,5109,1402,30,1623
2022-01-26,2022,Mobile App,788148.97,1561,417,30,580
2022-01-26,2022,Online,1594159.32,2941,777,30,1037
2022-01-27,2022,In-Store,2966221.95,5288,1438,30,1614
2022-01-27,2022,Mobile App,767189.97,1363,375,30,542
2022-01-27,2022,Online,1518534.1,2776,786,30,1008
2022-01-28,2022,In-Store,2971767.56,5279,1476,30,1620
2022-01-28,2022,Mobile App,699827.24,1243,355,30,546
2022-01-28,2022,Online,1574721.72,2641,752,30,1015
2022-01-29,2022,In-Store,3078906.54,5420,1468,30,1606
2022-01-29,2022,Mobile App,691623.1,1266,354,30,547
