sku_id,total_quantity,total_sales,transactions,stores,channels,first_sale,last_sale
SKU00001,4771,3624393.59,2528,30,3,2022-01-02,2025-12-31
SKU00002,38506,2542018.9,20568,30,3,2022-01-01,2025-12-31
SKU00003,1325,189058.31,713,30,3,2022-01-01,2025-12-24
SKU00004,2534,556401.4,1373,30,3,2022-01-01,2025-12-31
SKU00005,2292,300920.55,1219,30,3,2022-01-01,2025-12-31
SKU00006,2800,3748757.0100000002,1502,30,3,2022-01-01,2025-12-31
SKU00007,5215,633134.6,2761,30,3,2022-01-01,2025-12-31
SKU00008,1466,671175.58,747,30,3,2022-01-07,2025-12-30
SKU00009,1307,310552.5,700,30,3,2022-01-01,2025-12-31
SKU00010,1580,2386366.85,833,30,3,2022-01-07,2025-12-31
SKU00011,1531,178941.15,788,30,3,2022-01-07,2025-12-31
SKU00012,1296,996591.32,691,30,3,2022-01-03,2025-12-31
SKU00013,3281,1595809.4400000002,1781,30,3,2022-01-01,2025-12-31
SKU00014,1396,211325.53,774,30,3,2022-01-03,2025-12-31
SKU00015,3253,852534.09,1746,30,3,2022-01-01,2025-12-31
SKU00016,8332,27079481.16,4435,30,3,2022-01-02,2025-12-31
SKU00017,1301,336476.76999999996,714,30,3,2022-01-01,2025-12-31
SKU00018,1437,127141.56999999999,775,30,3,2022-01-02,2025-12-31
SKU00019,4828,1786043.85,2604,30,3,2022-01-01,2025-12-31
SKU00020,18187,1854649.27,9717,30,3,2022-01-01,2025-12-31
SKU00021,1445,156487.87,791,30,3,2022-01-07,2025-12-31
SKU00022,1777,334227.25,947,30,3,2022-01-05,2025-12-30
SKU00023,2179,4137026.7800000003,1183,30,3,2022-01-01,2025-12-29
SKU00024,1319,3355816.3200000003,697,30,3,2022-01-10,2025-12-31
SKU00025,1913,4382843.36,1024,30,3,2022-01-02,2025-12-30
SKU00026,1405,379022.31,731,30,3,2022-01-04,2025-12-31
SKU00027,4961,2824335.64,2631,30,3,2022-01-01,2025-12-31
SKU00028,1456,127370.18000000001,783,30,3,2022-01-01,2025-12-31
SKU00029,3234,5986781.34,1696,30,3,2022-01-01,2025-12-31
SKU00030,4454,1686154.99,2392,30,3,2022-01-01,2025-12-31
SKU00031,2019,287458.99,1069,30,3,2022-01-02,2025-12-30
SKU00032,1291,62448.56,702,30,3,2022-01-02,2025-12-28
SKU00033,1881,292974.49,1008,30,3,2022-01-01,2025-12-30
SKU00034,1663,3259043.15,882,30,3,2022-01-02,2025-12-31
SKU00035,1852,382354.93,998,30,3,2022-01-02,2025-12-31
SKU00036,7974,1411121.32,4280,30,3,2022-01-02,2025-12-31
SKU00037,1616,164058.93,837,30,3,2022-01-03,2025-12-27
SKU00038,2582,908567.2799999999,1397,30,3,2022-01-04,2025-12-31
SKU00039,1850,219402.31,990,30,3,2022-01-02,2025-12-31
SKU00040,2078,400915.61,1085,30,3,2022-01-03,2025-12-31
SKU00041,1474,3392445.19,760,30,3,2022-01-02,2025-12-31
SKU00042,1415,1464199.7999999998,755,30,3,2022-01-01,2025-12-31
SKU00043,4314,2503244.46,2273,30,3,2022-01-01,2025-12-31
SKU00044,1571,776067.0399999999,836,30,3,2022-01-03,2025-12-29
SKU00045,1356,447812.66,748,30,3,2022-01-03,2025-12-31
SKU00046,1636,237921.32,885,30,3,2022-01-01,2025-12-29
SKU00047,2317,628886.4,1255,30,3,2022-01-01,2025-12-30
SKU00048,4388,456058.80000000005,2319,30,3,2022-01-01,2025-12-31
SKU00049,2987,1643882.03,1577,30,3,2022-01-02,2025-12-31
SKU00050,15872,509327.49,8453,30,3,2022-01-01,2025-12-31
SKU00051,1557,488303.32,817,30,3,2022-01-02,2025-12-31
SKU00052,1359,1725978.07,730,30,3,2022-01-02,2025-12-24
SKU00053,1974,602841.12,1016,30,3,2022-01-01,2025-12-31
SKU00054,1893,3687792.8499999996,1025,30,3,2022-01-02,2025-12-31
SKU00055,4922,1916461.06,2608,30,3,2022-01-01,2025-12-31
SKU00056,2754,204254.32,1433,30,3,2022-01-03,2025-12-30
SKU00057,1764,3796447.58,925,30,3,2022-01-04,2025-12-31
SKU00058,1354,120798.99,725,30,3,2022-01-04,2025-12-30
SKU00059,1517,172548.89,815,30,3,2022-01-01,2025-12-31
SKU00060,4825,3263748.67,2562,30,3,2022-01-01,2025-12-30
SKU00061,1487,347523.73,814,30,3,2022-01-05,2025-12-30
SKU00062,26017,12213743.04,14056,30,3,2022-01-01,2025-12-31
SKU00063,2272,3425026.85,1188,30,3,2022-01-01,2025-12-31
SKU00064,1367,276240.48000000004,719,30,3,2022-01-01,2025-12-30
SKU00065,1805,1624417.96,978,30,3,2022-01-12,2025-12-31
SKU00066,1244,260358.11,660,30,3,2022-01-01,2025-12-30
SKU00067,1887,869144.62,992,30,3,2022-01-01,2025-12-31
SKU00068,3309,827170.0,1753,30,3,2022-01-03,2025-12-31
SKU00069,1262,309320.76999999996,699,30,3,2022-01-01,2025-12-26
SKU00070,1952,1343078.62,1019,30,3,2022-01-01,2025-12-30
SKU00071,1419,358044.18,755,30,3,2022-01-04,2025-12-26
SKU00072,2139,661778.9,1134,30,3,2022-01-03,2025-12-31
SKU00073,1600,1819541.6199999999,847,30,3,2022-01-07,2025-12-31
SKU00074,2424,451520.71,1303,30,3,2022-01-01,2025-12-28
SKU00075,1294,4503811.5,689,30,3,2022-01-05,2025-12-31
SKU00076,5190,1482834.34,2749,30,3,2022-01-01,2025-12-31
SKU00077,3020,4352214.41,1592,30,3,2022-01-03,2025-12-31
SKU00078,1308,1021701.87,698,30,3,2022-01-03,2025-12-31
SKU00079,67465,12515276.66,35776,30,3,2022-01-01,2025-12-31
SKU00080,1542,124736.45,807,30,3,2022-01-02,2025-12-31
SKU00081,1356,149734.55,743,30,3,2022-01-03,2025-12-31
SKU00082,2248,1010006.04,1183,30,3,2022-01-02,2025-12-31
SKU00083,1228,384615.96,664,30,3,2022-01-04,2025-12-31
SKU00084,1456,1791490.1900000002,750,30,3,2022-01-02,2025-12-30
SKU00085,1994,703797.99,1065,30,3,2022-01-01,2025-12-31
SKU00086,2785,7265092.32,1468,30,3,2022-01-01,2025-12-30
SKU00087,2789,608070.71,1533,30,3,2022-01-01,2025-12-31
SKU00088,2763,387832.57,1454,30,3,2022-01-01,2025-12-31
SKU00089,3558,1046751.25,1879,30,3,2022-01-01,2025-12-31
SKU00090,1314,775601.1900000001,682,30,3,2022-01-02,2025-12-31
SKU00091,1355,284110.68,728,30,3,2022-01-04,2025-12-29
SKU00092,9028,6873396.02,4805,30,3,2022-01-01,2025-12-31
SKU00093,1475,296009.66,792,30,3,2022-01-08,2025-12-31
SKU00094,1385,1386052.4,737,30,3,2022-01-02,2025-12-31
SKU00095,1661,1095480.4200000002,878,30,3,2022-01-01,2025-12-31
SKU00096,5565,1092703.86,2965,30,3,2022-01-02,2025-12-31
SKU00097,2892,2975805.31,1505,30,3,2022-01-02,2025-12-30
SKU00098,1899,539676.53,1039,30,3,2022-01-06,2025-12-30
SKU00099,2199,3443861.32,1168,30,3,2022-01-01,2025-12-29
SKU00100,1326,578557.03,711,30,3,2022-01-03,2025-12-28
SKU00101,1724,197379.22999999998,939,30,3,2022-01-01,2025-12-30
SKU00102,7324,776817.97,3923,30,3,2022-01-01,2025-12-31
SKU00103,3695,626286.9299999999,1947,30,3,2022-01-01,2025-12-30
SKU00104,2708,980867.64,1440,30,3,2022-01-05,2025-12-31
SKU00105,1214,570921.17,670,30,3,2022-01-01,2025-12-29
SKU00106,3496,653762.04,1827,30,3,2022-01-01,2025-12-31
SKU00107,1801,4261139.41,942,30,3,2022-01-03,2025-12-30
SKU00108,1640,126312.67,881,30,3,2022-01-02,2025-12-31
SKU00109,1943,187824.9,1037,30,3,2022-01-01,2025-12-30
SKU00110,1364,368763.25,717,30,3,2022-01-04,2025-12-23
SKU00111,3002,6469701.649999999,1567,30,3,2022-01-03,2025-12-31
SKU00112,1380,283478.11,756,30,3,2022-01-01,2025-12-30
SKU00113,2291,293574.21,1229,30,3,2022-01-01,2025-12-31
SKU00114,1642,259884.93000000002,874,30,3,2022-01-01,2025-12-30
SKU00115,2883,124310.01,1522,30,3,2022-01-01,2025-12-31
SKU00116,3139,941129.73,1687,30,3,2022-01-01,2025-12-31
SKU00117,2360,581760.9299999999,1226,30,3,2022-01-01,2025-12-31
SKU00118,1821,493865.6,990,30,3,2022-01-05,2025-12-31
SKU00119,4559,4083535.25,2469,30,3,2022-01-01,2025-12-31
SKU00120,1941,904805.48,1034,30,3,2022-01-08,2025-12-31
SKU00121,1809,332381.04,936,30,3,2022-01-01,2025-12-31
SKU00122,1362,200574.81,747,30,3,2022-01-11,2025-12-31
SKU00123,2763,255560.19,1488,30,3,2022-01-01,2025-12-31
SKU00124,1605,520423.01,865,30,3,2022-01-01,2025-12-28
