year,channel,store_id,total_value,quantity,transactions
2022,In-Store,ST01,33690027.86,56764,15769
2022,In-Store,ST02,22997390.95,38384,10534
2022,In-Store,ST03,50989844.62,85244,23382
2022,In-Store,ST04,50786208.34,84335,23250
2022,In-Store,ST05,51199788.93,85317,23515
2022,In-Store,ST06,67778434.38,112869,31064
2022,In-Store,ST07,68162241.4,112552,31101
2022,In-Store,ST08,49952467.17,84252,23361
2022,In-Store,ST09,50502386.71,84188,23224
2022,In-Store,ST10,34043262.07,56911,15505
2022,In-Store,ST11,51556884.48,85071,23545
2022,In-Store,ST12,33641803.1,56400,15554
2022,In-Store,ST13,34347339.31,57223,15746
2022,In-Store,ST14,50279795.26,84759,23385
2022,In-Store,ST15,33753546.37,56168,15412
2022,In-Store,ST16,33285609.3,56116,15580
2022,In-Store,ST17,50917997.87,84648,23262
2022,In-Store,ST18,50966020.8,84491,23230
2022,In-Store,ST19,33661557.2,56239,15521
2022,In-Store,ST20,67194666.72,112997,31148
2022,In-Store,ST21,67750967.68,112915,31165
2022,In-Store,ST22,67078725.04,112537,30997
2022,In-Store,ST23,33721878.03,56124,15553
2022,In-Store,ST24,33451629.6,56071,15417
2022,In-Store,ST25,34025894.9,56689,15668
2022,In-Store,ST26,34073067.14,56648,15615
2022,In-Store,ST27,51631370.05,86741,23611
2022,In-Store,ST28,50867336.16,85245,23443
2022,In-Store,ST29,66868071.22,111941,30944
2022,In-Store,ST30,66502475.34,112001,30950
2022,Mobile App,ST01,9169199.51,15095,4166
2022,Mobile App,ST02,6232875.97,10357,2889
2022,Mobile App,ST03,13709339.3,23212,6510
2022,Mobile App,ST04,13563605.56,22730,6306
2022,Mobile App,ST05,13467274.42,22622,6253
2022,Mobile App,ST06,18350878.51,30501,8400
2022,Mobile App,ST07,18489470.58,30511,8330
2022,Mobile App,ST08,13712632.66,23003,6287
2022,Mobile App,ST09,13548293.57,22512,6227
2022,Mobile App,ST10,9177719.26,15169,4194
2022,Mobile App,ST11,14259092.89,23658,6489
2022,Mobile App,ST12,9484199.0,15474,4317
2022,Mobile App,ST13,9673184.52,16072,4337
2022,Mobile App,ST14,13722233.1,23117,6294
2022,Mobile App,ST15,9337838.74,15783,4272
2022,Mobile App,ST16,9435178.45,15422,4274
2022,Mobile App,ST17,13910158.0,23399,6437
2022,Mobile App,ST18,13654015.03,23041,6249
2022,Mobile App,ST19,9512512.76,15772,4256
2022,Mobile App,ST20,18813559.96,30957,8507
2022,Mobile App,ST21,18611049.45,31125,8468
2022,Mobile App,ST22,18505395.64,30518,8545
2022,Mobile App,ST23,9164770.67,15107,4180
2022,Mobile App,ST24,9311544.5,15206,4220
2022,Mobile App,ST25,9074181.25,15025,4150
2022,Mobile App,ST26,9602149.72,15897,4360
2022,Mobile App,ST27,13307412.64,22458,6273
2022,Mobile App,ST28,13760182.35,23225,6409
2022,Mobile App,ST29,18411650.82,31173,8568
2022,Mobile App,ST30,18263099.12,30285,8446
2022,Online,ST01,18254847.42,30607,8463
2022,Online,ST02,12609561.99,21268,5754
